Hard Skills,LOW,Visual,TODO_BLOOM,Office Skills,You Tube,You Tube,https://www.youtube.com/watch?v=4ciagenljG0
Hard Skills,LOW,TODO_LEARNING_PERSONALITY,Understand/Remember,Office Skills,Study,,https://study.com/articles/Admissions_Representative_Job_Description_and_Requirements.html
Hard Skills,LOW,TODO_LEARNING_PERSONALITY,Analyze/Apply,Office Skills,Indeed,Brand Manager,https://www.indeed.com/hire/job-description/brand-manager
Hard Skills,LOW,TODO_LEARNING_PERSONALITY,Analyze/Apply,Office Skills,Socialtables,,https://www.socialtables.com/blog/event-planning/what-an-event-manager-does
Hard Skills,LOW,TODO_LEARNING_PERSONALITY,Analyze/Apply,Office Skills,Monster,Marketing Assistant,https://hiring.monster.com/employer-resources/job-description-templates/marketing-assistant-job-description-sample
Hard Skills,LOW,TODO_LEARNING_PERSONALITY,Understand/Remember,Office Skills,The Balance Careers,,https://www.thebalancecareers.com/everything-you-need-to-know-about-media-planner-jobs-2316056
Hard Skills,LOW,Visual,TODO_BLOOM,Office Skills,Financial Advisor,You Tube,https://www.youtube.com/watch?v=F_HBArBxKe8
Hard Skills,LOW,Visual,TODO_BLOOM,Office Skills,Human Resources,You Tube,https://www.youtube.com/watch?v=cA6uJvs_vc4
Hard Skills,LOW,Visual,TODO_BLOOM,Office Skills,Legislator,You Tube,https://www.youtube.com/watch?v=_u9UUl7NV3E
Hard Skills,LOW,Visual,TODO_BLOOM,Office Skills,Property Management,You Tube,https://www.youtube.com/watch?v=7mTN-RCcGGQ
Hard Skills,LOW,Visual,TODO_BLOOM,Office Skills,Advertising Manager,You Tube,https://study.com/articles/Advertising_Manager_Job_Description_and_Requirements_for_a_Career_in_Advertising_Management.html
Hard Skills,LOW,Visual,TODO_BLOOM,Office Skills,Job Analysis Specialist,You Tube,https://www.youtube.com/watch?v=s8Y4luvlupw
Hard Skills,LOW,TODO_LEARNING_PERSONALITY,Analyze/Apply,Office Skills,Work Chron,,https://work.chron.com/job-description-financial-services-sales-representative-16384.html
Hard Skills,LOW,TODO_LEARNING_PERSONALITY,Analyze/Apply,Office Skills,SHRM,,https://www.shrm.org/resourcesandtools/tools-and-samples/job-descriptions/pages/human-resource-manager.aspx
Hard Skills,LOW,TODO_LEARNING_PERSONALITY,Analyze/Apply,Office Skills,BLS,Gov,https://www.bls.gov/ooh/management/compensation-and-benefits-managers.htm
Hard Skills,LOW,Visual,TODO_BLOOM,Office Skills,Grant Writing,You Tube,https://www.youtube.com/watch?v=32ER9PWhggI
Hard Skills,LOW,Visual,TODO_BLOOM,Office Skills,Copywriter,You Tube,https://www.youtube.com/watch?v=iLhpKlekaF0
Hard Skills,LOW,Visual,TODO_BLOOM,Office Skills,Executive Assistant,You Tube,https://www.youtube.com/watch?v=QDRbHf6FkZo
Hard Skills,LOW,Visual,TODO_BLOOM,Office Skills,Content Marketing,You Tube,https://www.youtube.com/watch?v=jHZNWkOnlQg
Hard Skills,LOW,Visual,TODO_BLOOM,Office Skills,Proposal Writing,You Tube,https://www.youtube.com/watch?v=9yElAq2Z9Gs
Hard Skills,LOW,Visual,TODO_BLOOM,Office Skills,Content Strategy,You Tube,https://www.youtube.com/watch?v=7dR-6sHAfS8
Hard Skills,LOW,TODO_LEARNING_PERSONALITY,TODO_BLOOM,Office Skills,Digital Marketing Institute,,https://digitalmarketinginstitute.com/blog/what-does-a-content-marketer-do
Hard Skills,LOW,TODO_LEARNING_PERSONALITY,Analyze/Apply,Office Skills,Celarity,,https://www.celarity.com/job-description/content-strategist
Hard Skills,LOW,Visual,TODO_BLOOM,Office Skills,Photo editing,You Tube,https://www.youtube.com/watch?v=3Tw_ALOaZWQ
Hard Skills,LOW,Visual,TODO_BLOOM,Office Skills,Photographer,You Tube,https://www.youtube.com/watch?v=MSiZHcmflX4
Hard Skills,LOW,Visual,TODO_BLOOM,Office Skills,Animation Tech,You Tube,https://www.youtube.com/watch?v=AcLeBajc38I
Hard Skills,LOW,Visual,TODO_BLOOM,Office Skills,Art Director,You Tube,https://www.youtube.com/watch?v=FP5EOLF7GPI
Hard Skills,LOW,Visual,TODO_BLOOM,Office Skills,Film Production,You Tube,https://www.youtube.com/watch?v=esa0NeQI8oc
Hard Skills,LOW,Visual,TODO_BLOOM,Office Skills,Videographer,You Tube,https://www.youtube.com/watch?v=EyCYGhLSn-A
Hard Skills,LOW,TODO_LEARNING_PERSONALITY,Evaluate/Create,Office Skills,Built In,,https://builtin.com/job-descriptions/art-director-job-description
Hard Skills,LOW,TODO_LEARNING_PERSONALITY,Analyze/Apply,Office Skills,Careers in Film,,https://www.careersinfilm.com/film-editor/
Hard Skills,LOW,TODO_LEARNING_PERSONALITY,Analyze/Apply,Office Skills,Resources/Workable,,https://resources.workable.com/video-editor-job-description
Hard Skills,LOW,Visual,TODO_BLOOM,Office Skills,CyberSecurity,You Tube,https://www.youtube.com/watch?v=TSEASzRy8R
Hard Skills,LOW,Visual,TODO_BLOOM,Office Skills,Photography Options,You Tube,https://www.youtube.com/watch?v=MSiZHcmflX4
Hard Skills,LOW,Visual,TODO_BLOOM,Office Skills,Software Developer,You Tube,https://www.youtube.com/watch?v=LIr9PqJdgvE
Hard Skills,LOW,Visual,TODO_BLOOM,Office Skills,Data Science,You Tube,https://www.youtube.com/watch?v=PXLVLS1vJHY
Hard Skills,LOW,Visual,TODO_BLOOM,Office Skills,IT Project Manager,You Tube,https://www.youtube.com/watch?v=ShB-vJbHc_I
Hard Skills,LOW,Visual,TODO_BLOOM,Office Skills,Systems Analyst,You Tube,https://www.youtube.com/watch?v=owDb7wHmkCU
Hard Skills,LOW,Visual,TODO_BLOOM,Office Skills,Network Analyst,You Tube,https://www.youtube.com/watch?v=JNm6fJw19kg
Hard Skills,LOW,Visual,TODO_BLOOM,Office Skills,Logistics Manager,You Tube,https://www.youtube.com/watch?v=GAjUSQMPNGI
Hard Skills,LOW,TODO_LEARNING_PERSONALITY,Analyze/Apply,Office Skills,US News,,https://money.usnews.com/careers/best-jobs/information-security-analyst
Hard Skills,LOW,TODO_LEARNING_PERSONALITY,Analyze/Apply,Office Skills,Business Administration information,,https://www.businessadministrationinformation.com/job-profiles
